s_name,b_hour,county,address,rate,geo_loc,pic_url,gmaps_url,type,comm,area,create_time,update_time
臺中市政府新市政大樓4樓集會堂,星期一08:00–17:30星期二08:00–17:30星期三08:00–17:30星期四08:00–17:30星期五08:00–17:30星期六休息星期日休息,台中市,台中市西屯區台灣大道三段99號,4.4,"120.64695,24.16191",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqoMdtAbCFy1KIgj2G2IVAIqMBk3baltexhHG-hfSrJU5GN1bI293OcHn0TBKfOis9OmUrc_1oFhYVGa7EYrkEvP2WGEiIFEqRVcY86kDEFarmSl5MUoGZptADs8rEcdkpjB47X=w425-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJI7Eguo09aTQR7tTv1eJrkgk,戶外,122,西屯區,2025-05-05 12:54:26,2025-05-05 12:54:26
國立公共資訊圖書館,星期一休息星期二09:00–21:00星期三09:00–21:00星期四09:00–21:00星期五09:00–21:00星期六09:00–21:00星期日09:00–17:00,台中市,台中市南區五權南路100號,4.6,"120.67087,24.12728",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjsLAwq3FJf3qEBtaE2ASJ4wqy_COAfEMdxzLcIGUdZZjkQy2cVFl5gva3sfNVoqQ855iO8ucCCXaxzO2q6X2Ikedcn7-PAnFwxnnmi0y0sQgmKk-ww5q2-ggsgExpxuH72dq8yA=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJVxLWRgE9aTQRzquzjg4AFno,室內,3224,南區,2025-05-05 12:54:26,2025-05-05 12:54:26
豐原太平洋百貨,星期一11:00–22:00星期二11:00–22:00星期三11:00–22:00星期四11:00–22:00星期五11:00–22:00星期六10:30–22:00星期日10:30–22:00,台中市,台中市豐原區復興路2號,4.1,"120.72060,24.25100",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzQytbzmy_cVg8B6z_Uf_6Ei0lvzpzQcIlm4BOOrcu6GsXT9Ngxg00CRY3K526REmESxW1d1riRXtUTzD5cbjALIxz0JMa4-gsNg0jKHHYe-b1HXyZO-p2hjgjTqeArlBHqgm5=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJRX0ugA8aaTQRBwsqNVmEB8s,室內,7076,豐原區,2025-05-05 12:54:26,2025-05-05 12:54:26
大魯閣新時代購物中心,星期一11:00–22:00星期二11:00–22:00星期三11:00–22:00星期四11:00–22:00星期五11:00–22:00星期六10:30–22:00星期日10:30–22:00,台中市,台中市東區復興路四段186號,4.3,"120.68775,24.13577",https://lh3.googleusercontent.com/p/AF1QipNLkBXh_PTVDcCYC71OmjZgPFx-3nJaTKMnZFt4=w563-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ9a_5lRU9aTQR5vyqoPukmik,室內,25894,東區,2025-05-05 12:54:26,2025-05-05 12:54:26
金典綠園道,星期一11:00–21:30星期二11:00–21:30星期三11:00–21:30星期四11:00–21:30星期五11:00–21:30星期六10:30–22:00星期日10:30–22:00,台中市,台中市西區健行路1049號,4.2,"120.66326,24.15574",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr56jm74Q7xg6LbPpm6l7MWH7qa0mDjcq5zT8-9KgHOfMRBi4_2wlCPkhDuXJnSodu2oEjF-Qq0Q8Otc6A9gmZNWZUH-XqHtT9VnReCewWZ1WTjTgR8CVAEL4vI5yBGoXUglv3W=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJbTvbKZ09aTQRbG9qhco2g7I,室內,6522,西區,2025-05-05 12:54:26,2025-05-05 12:54:26
旱溪自行車道,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市北屯區旱溪西路三段21號,4.1,"120.71172,24.18212",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhEYcgH8uFZ9s23FjpBm4KGZfr5qKdSAZ-7Qks4Ct5--frgBxlg73hzM8sIfI6FeTJqSuE78v5YC2JGLFvDa37S9El7ToycysvpLkEq6qc6JUUI8mA-3R7LOK5WpaP3qAjg4fjTg=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJJxfG4_AXaTQRq2DOJE0wrDQ,戶外,620,北屯區,2025-05-05 12:54:26,2025-05-05 12:54:26
草悟道,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市西區向上北路,4.4,"120.66477,24.14840",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nphevG-yKBnVgS0FYJvKGXoi2_SjEvtbAg0VxtV2zTJOIvEtwcSrJdg7XCAuwFF_wq4uB_YhhCm43t3_fIDEI-V9TqCZMem62hVe7uXa4FCMAlnSv029jci7kJnto3ZYZvMZjs=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJh5VW1qY9aTQRgVpjgx_xu0s,戶外,10553,西區,2025-05-05 12:54:26,2025-05-05 12:54:26
知高圳步道,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市烏日區中山路三段登寺巷176號,4.3,"120.58959,24.11802",https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i109441!3i56482!2m3!1e0!2sm!3i731488733!2m2!1e2!2sspotlit!3m8!2szh-TW!3stw!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i4897086!23i72613116!23i47054629!23i72385654!23i72310157!23i72458815!23i10211069!23i94243289!23i94255677!23i72692817!23i10210500!23i94222679!23i10211515!23i94260020!27m15!299174093m14!14m13!1m8!1m2!1y3776618765813758645!2y8400202646465332080!2s%2Fg%2F11b7fvq_wn!4m2!1x241180190!2x1205895853!15sgcid%3Ahiking_area!2b0!3b0!6b0!8b0,https://www.google.com/maps/place/?q=place_id:ChIJtTpnFMI-aTQRcMPc_8yDk3Q,戶外,2694,烏日區,2025-05-05 12:54:26,2025-05-05 12:54:26
立法院民主議政園區議事大樓,星期一09:00–04:00星期二09:00–12:0014:00–17:00星期三09:00–12:0014:00–17:00星期四09:00–12:0014:00–17:00星期五09:00–12:0014:00–17:00星期六09:00–16:00星期日09:00–16:00,台中市,台中市霧峰區中正路734號,4.4,"120.69987,24.05399",https://lh3.googleusercontent.com/p/AF1QipPKL91T3sW7ZZfpoJDPSMRUZVA1H73eeL91Wc18=w408-h272-k-no,https://www.google.com/maps/place/?q=place_id:ChIJR5m_2kc7aTQRjObPqZx22lM,戶外,202,霧峰區,2025-05-05 12:54:26,2025-05-05 12:54:26
新田登山步道登山口,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市潭子區豐興路二段龍興巷,4.4,"120.73793,24.21442",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZitNfTrnoXxoSXbBkk0vzxvw8fTegBn6vcf1VZDqy_P3dn9Gw3sYE5Or-7JPSdiQaF3G2SMsnNucCYewHR8qj-q8cpdFBVPw3EJZ8aAOElkCdCXEa4pWr9YbYK8wP768a4y3R0A=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ1SybLb4ZaTQR1Pjb-DOAnec,戶外,1224,潭子區,2025-05-05 12:54:26,2025-05-05 12:54:26
