id_open,name_open,region_open,town_open,add_open,place_id,f_name,rate,comm,types,address,lng,lat,business_status
C3_376580000A_000064,原夜市鴨肉麵-中正店,新竹市,北區,新竹市北區中正路280號,ChIJ-bRJerg1aDQRJHd8Be3wlEM,原夜市鴨肉麵,4.0,931,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區中正路280號,120.9641482,24.8125508,OPERATIONAL
C3_376580000A_000065,原夜市鴨肉麵-中央店,新竹市,東區,新竹市東區中央路30號,ChIJo5U_Teo1aDQRE0Mxxh3ZI7w,原夜市鴨肉麵,3.9,1752,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市東區中央路30號,120.9672707,24.8045579,OPERATIONAL
C3_376580000A_000066,RT烘培屋,新竹市,東區,新竹市東區府後街31號,ChIJncZU3s01aDQRGzhYA3HwNMY,RT Baker House 光華店,4.2,374,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",300台灣新竹市東區光華北街7號,120.9742935,24.8177959,OPERATIONAL
C3_376580000A_000066,RT烘培屋,新竹市,東區,新竹市東區府後街31號,ChIJY9_Q2Gw2aDQRzNqtGgrz3Sw,RT Baker House 建功店,4.3,729,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",300台灣新竹市東區建功二路10號,121.0021905,24.7964045,OPERATIONAL
C3_376580000A_000066,RT烘培屋,新竹市,東區,新竹市東區府後街31號,ChIJd1EL18M1aDQRaiXxnJDlHZU,雅特烘焙 府後店,4.3,1291,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",300台灣新竹市東區府後街31號,120.9707063,24.8058605,OPERATIONAL
C3_376580000A_000066,RT烘培屋,新竹市,東區,新竹市東區府後街31號,ChIJIRFJQ-s2aDQRSMZWJgSjv0c,RT Baker House 竹北店,4.1,1356,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",302台灣新竹縣竹北市光明一路408號,121.0116668,24.8311888,OPERATIONAL
C3_376580000A_000067,曾家公園乾麵,新竹市,東區,新竹市東區公園路276號,ChIJaQsUtN01aDQRCO2s8wyDq98,曾家公園乾麵-老店（店休日請參考IG&FB公告 ),4.2,741,"['restaurant', 'point_of_interest', 'food', 'establishment']",300台灣新竹市東區體育街102號,120.9801738,24.8027906,OPERATIONAL
C3_376580000A_000069,鴨肉許總店,新竹市,北區,新竹市北區中正路212號,ChIJ0yYxW8c1aDQRiele0iAXXxY,鴨肉許（中正店）,3.4,2639,"['restaurant', 'point_of_interest', 'food', 'establishment']",300台灣新竹市北區中正路212號,120.9656633,24.8105907,OPERATIONAL
C3_376580000A_000069,鴨肉許總店,新竹市,北區,新竹市北區中正路212號,ChIJRY-PXcA1aDQRKxwFiYrBaBU,許二姊,3.9,11615,"['restaurant', 'point_of_interest', 'store', 'food', 'establishment']",300台灣新竹市北區北門街35號,120.9657791,24.8056834,OPERATIONAL
C3_376580000A_000069,鴨肉許總店,新竹市,北區,新竹市北區中正路212號,ChIJM6u4UZU1aDQR4ljpH_X8FUo,鴨肉許鴨肉麵,3.8,1437,"['restaurant', 'point_of_interest', 'food', 'establishment']",300台灣新竹市北區西大路413號,120.9642021,24.8034528,OPERATIONAL
C3_376580000A_000069,鴨肉許總店,新竹市,北區,新竹市北區中正路212號,ChIJgxLtY8g1aDQRhdQ0l6licm0,鴨肉許（中央店）,3.9,1390,"['restaurant', 'point_of_interest', 'food', 'establishment']",300台灣新竹市東區中央路296號,120.9777581,24.8100451,OPERATIONAL
C3_376580000A_000070,鴨肉許北門分店,新竹市,北區,新竹市北區北門街35號,ChIJRY-PXcA1aDQRKxwFiYrBaBU,許二姊,3.9,11615,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區北門街35號,120.9657791,24.8056834,OPERATIONAL
C3_376580000A_000070,鴨肉許北門分店,新竹市,北區,新竹市北區北門街35號,ChIJM6u4UZU1aDQR4ljpH_X8FUo,鴨肉許鴨肉麵,3.8,1437,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區西大路413號,120.9642021,24.8034528,OPERATIONAL
