ev_name,county,address,geo_loc,pic_url,accu_url,s_time,e_time
造夢基地共享空間_台南火車站站前館｜台南場地租借、教室、會議室、辦公室、營業登記｜近台南火車站,台南市,台南市中西區民族路二段76-10號5樓之１,POINT(22.995029 120.208375),https://static.accupass.com/eventbanner/2302130724066196149830_P520x260.jpg,https://www.accupass.com/event/2301110900151346143547?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2023-01-12 12:00:00,2030-12-31 00:00:00
朝陽科技大學 傳播藝術系第二十九屆黑朝畢業展－《浮生若夢》動態作品校內展,台中市,台中市霧峰區吉峰東路168號(朝陽科技大學),POINT(24.0685714 120.7147579),https://static.accupass.com/eventbanner/2504011814583566040210_P520x260.jpg,https://www.accupass.com/event/2503161056231703105336?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 13:00:00,2025-05-11 21:00:00
一鍵中琴---陳慧玲&李芳樺聯合音樂會,彰化縣,彰化縣員林市員林大道二段99號小劇場,POINT(23.9491713 120.579127),https://static.accupass.com/eventbanner/2503261622242076628899_P520x260.jpg,https://www.accupass.com/event/2503261614205591376320?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-16 19:30:00,2025-05-16 22:00:00
愛手創日本手作祭 第七回 百職日行 // 手作課程 - 手作綠植苔球,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504020618338223563600_P520x260.jpg,https://www.accupass.com/event/2504020155544106645640?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
愛手創日本手作祭 第七回 百職日行 // 手作課程 - 毛氈球小精靈,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504020619171886583553_P520x260.jpg,https://www.accupass.com/event/2504020150201971761861?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
愛手創日本手作祭 第七回 百職日行 // 手作課程 - 簡易金繼瓷器,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504020617371213149655_P520x260.jpg,https://www.accupass.com/event/2504020341495933655300?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
5/10 奇幻奢華 雙重感受｜杜拜x土耳其旅遊攻略,台北市,台北市信義區基隆路一段153-1號1樓,POINT(25.042329 121.565544),https://static.accupass.com/eventbanner/2504230621256263446650_P520x260.jpg,https://www.accupass.com/event/2504180547142434593900?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 15:00:00,2025-05-10 17:00:00
【手機影片製作課程】即刻影像力—短影音 X 快速剪輯後製,台北市,台北市大同區南京西路239巷21號3樓,POINT(25.0537243 121.5094531),https://static.accupass.com/eventbanner/2205110633511602227799_P520x260.jpg,https://www.accupass.com/event/2502120705577187478890?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-07 14:00:00,2025-06-28 16:30:00
8%ice CAFÉ 中山店 05/10《康乃馨之語》主題音樂餐會,台北市,台北市中山區中山北路二段78-3號,POINT(25.0574071 121.5226233),https://static.accupass.com/eventbanner/2504241019412125031548_P520x260.jpg,https://www.accupass.com/event/2504240657221459844824?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 18:30:00,2025-05-10 20:00:00
(台北聯誼)05/11(日)14:00【手作甜點小確幸篇x單身聯誼】23~39歲（女早鳥399元）女生免費排約/男女比1:1/約會/找對象/唐果/聯誼/婚友社/媒人/相親,台北市,台北市信義區莊敬路253號1樓,POINT(25.0293984 121.5625942),https://static.accupass.com/eventbanner/2503151519312033770916_P520x260.jpg,https://www.accupass.com/event/2412081317186943799360?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2024-12-08 00:00:00,2025-12-31 00:00:00
